F|Garuḍa manqué: raccord suspect|Frise Terrasse Éléphants: séquence Garuḍa interrompue ~mi-longueur nord. Bloc de remplacement visible -> taille/grain différent du grès d'origine [1].|Alignement frise nord: rupture de motif. Pierre de remplacement = teinte plus claire, joint irrégulier ~2-3cm.|L
F|Stuc disparu: surface fantôme|Terrasses originellement enduites stuc peint. Surface actuelle = grès nu -> lecture iconographique tronquée [2]. Ce qu'on voit aujourd'hui = squelette, pas le monument.|Grès poreux visible. Traces résiduelles stuc @angles protégés des pilastres. Couleur d'origine: zéro.|H
F|Roi Lépreux: dieu ou homme?|Statue "Roi Lépreux" @terrasse = copie. Original Musée National Phnom Penh depuis 1967 [3]. Socle in situ = vide symbolique. Identité réelle: Yama (dieu des morts) selon Coedès, pas roi lépreux.|Socle @terrasse = réplique béton/résine. Patine artificielle uniforme vs usure naturelle originale.|H
F|Double mur: galerie secrète enfouie|Terrasse Roi Lépreux = double paroi. Galerie intérieure ~30m excavée EFEO 1930s: sculptures jamais exposées au regard, enfouies volontairement [4]. Logique = espace rituel interdit ou chantier abandonné recouvert.|Entrée galerie intérieure visible côté ouest. Sculptures intérieures = pas de traces d'usure de contact humain. Obscurité totale sans lampe.|H
P|Jayavarman VII: propagande de pierre|Terrasse Éléphants (~1180-1220): tribune royale pour défilés militaires [5]. Éléphants de guerre sculptés = inventaire de puissance, pas décor. Jayavarman VII -> premier roi bouddhiste Mahayana -> récupère symbolique hindoue (Indra/Airavata) sans la détruire.|Éléphants à trois têtes (Airavata, monture d'Indra) sculptés par roi bouddhiste. Contradiction théologique visible en façade.|H
P|Dévarāja: dieu-roi gravé dans la pierre|Concept Devaraja (dieu-roi) -> légitimité royale khmère = divine par essence [6]. Terrasses = scène de théâtre du pouvoir sacré. Équivalent européen: Versailles + cathédrale Notre-Dame fusionnés en un seul podium.|Terrasse = podium surélevé ~3-4m. Roi visible de loin, encadré par nāga et Garuḍa -> iconographie divine. Peuple en bas = cosmologie incarnée.|H
P|Nāga politique: frontière sacrée|Rampes nāga (serpent cosmique) @terrasses = frontière entre monde profane (bas) et espace royal-divin (haut) [7]. Équivalent: portail royal cathédrale gothique. Franchir la rampe = acte rituel, pas circulation.|Rampes nāga: corps serpent multi-têtes. Têtes dressées = position défensive. Transition sol/terrasse = seuil matérialisé.|H
S|Grès de Kulen: carrières invisibles|Grès rose Angkor = extrait Phnom Kulen ~35km nord [10]. Transport par radeau sur Siem Reap/Mékong. Aucune inscription ne nomme un carrier ou batelier. Travail = effacé de l'histoire officielle par conception.|@Phnom Kulen: carrières abandonnées encore visibles. Blocs inachevés in situ. Zéro monument commémoratif carriers.|M
C|Ticket UNESCO: 37$/jour/touriste|Angkor Pass 2024: 37 USD/jour -> recettes ~100M USD/an [11]. Gestion: Angkor Enterprise (depuis 2016, succédant à Sokimex) -> entreprise publique sous tutelle du Ministère de l'Économie. Part reversée conservation réelle = opaque.|Guichets Angkor Pass @entrée principale. Logo Sokimex absent des panneaux officiels. APSARA = façade institutionnelle.|H
C|Répliques Phnom Penh: original pillé|Statues originales Terrasse Roi Lépreux transférées Phnom Penh en 1967 [3]. Logique officielle: protection (safekeeping). Réalité: décontextualisation totale. Musée = vitrine, site = décor vide.|Réplique @terrasse = résine/béton. Absence de patine d'âge. Socle original vide de sens sans statue originale.|M
F|Cosmologie visible: Mont Meru en plan|Angkor Thom = mandala urbain [13]. Centre = Bayon (Mont Meru cosmique). Terrasses = périphérie orientée. Visiteur @terrasse éléphants -> axe visuel direct Bayon. Urbanisme = carte cosmologique habitée.|Depuis terrasse éléphants: axe est-ouest -> Bayon visible en ligne droite ~1,5km. Orientation cardinale stricte vérifiable à la boussole.|H
F|Têtes Bayon: portrait ou divinité?|Visages tours Bayon (~216 visages) = Jayavarman VII déifié OU Bodhisattva Avalokiteśvara [14]. Débat non tranché. Si portrait: premier autocrate à se faire sculpter à l'échelle urbaine en Asie du Sud-Est. Si divinité: propagande bouddhiste Mahayana.|@Bayon: sourire identique sur 216 visages. Comparaison portraits Jayavarman VII connus (bronze Musée Guimet) -> ressemblance morphologique notable.|M
