F|Reliefs Bayon: couche bouddhiste sur hindoue|Jayavarman VII (r. 1181-1218) -> conversion forcée site shivaïte préexistant. Galeries inférieures Bayon = réemploi iconographique massif [1]. Figures hindoues martelées, remplacées par bodhisattvas.|Surfaces planes anormales entre panneaux narratifs. Contours résiduels de divinités hindoues visibles en lumière rasante, galerie est niveau 2.|M|Bayon temple religious conversion Jayavarman VII Shaivite Buddhist palimpsest;;Angkor Bayon iconoclasm Hindu Buddhist relief overcarving evidence;;George Coedès "Les États hindouisés d'Indochine" Bayon conversion;;Bayon lower gallery reused Hindu panels archaeological evidence

F|Visages Bayon: identité réelle contestée|54 tours -> 216 visages. Identification Avalokitesvara universellement acceptée MAIS Coedès 1935 propose portrait Jayavarman VII [1]. Aucune inscription confirme. Ambiguïté politique délibérée: roi = dieu vivant.|Visages identiques reproduits mécaniquement. Aucune variation individuelle. Comparer avec portraits sculptés Jayavarman VII, musée Phnom Penh: même morphologie.|M|Bayon faces Avalokitesvara Jayavarman VII portrait identification Coedès;;Bayon towers face identity debate scholarly consensus;;George Coedès "Pour mieux comprendre Angkor" 1947 visages Bayon;;Jayavarman VII portrait sculpture comparison Bayon towers

P|Propagande gravée: victoire navale fabriquée|Bas-relief galerie est, niveau 1: bataille navale Tonlé Sap 1177 vs Chams [2]. Khmers représentés victorieux. OR: Chams avaient SACCAGÉ Angkor en 1177 -> victoire finale de 1181 seulement. Chronologie manipulée, défaite initiale effacée.|Séquence narrative relief: pas de représentation de la chute d'Angkor 1177. Ellipse visuelle entre invasion et contre-attaque. Rupture stylistique entre deux panneaux contigus.|M|Bayon bas-relief naval battle 1177 Cham invasion Angkor sack historical accuracy;;Cham sack Angkor 1177 Jayavarman VII propaganda relief narrative;;Angkor Bayon battle Tonle Sap relief historical revisionism;;Claude Jacques "Angkor" chronologie 1177-1181 Chams

S|Ouvriers Bayon: corvée royale non documentée|Construction Bayon estimée fin XIIe-début XIIIe s. -> mobilisation corvéable (besdaṃ) massive [3]. Inscription Ta Prohm (1186) cite ~300.000 personnes mobilisées pour complexes Jayavarman VII. Aucun registre de mortalité chantier conservé.|Aucune stèle commémorative ouvrière @Bayon. Comparer avec inscriptions Ta Prohm et Preah Khan qui listent personnel religieux mais JAMAIS manœuvres.|H|Jayavarman VII corvée labor inscription Ta Prohm 1186 workforce numbers;;Angkor construction labor force estimates Bayon 12th century;;Khmer royal corvée besdaṃ system agricultural workers;;Michael Coe "Angkor and the Khmer Civilization" labor organization

S|Pêcheurs Tonlé Sap: seuls Khmers visibles pauvres|Reliefs vie quotidienne galerie sud: scènes marché, cuisine, pêche Tonlé Sap [3]. Pêcheurs représentés = seule classe sociale NON militaire, NON religieuse visible. Iconographie = normalisation de la pauvreté productive. Aucune représentation de famine ou épuisement des ressources.|Panneaux galerie sud-est: filets, barques, poissons en abondance. Représentation idéalisée -> comparer avec réalité hydrologique Tonlé Sap (variations extrêmes saisonnières). Aucun corps, aucune scène de disette.|L|Bayon bas-relief daily life fishing Tonle Sap south gallery iconography;;Khmer peasant representation Angkor reliefs social class fishing;;Tonle Sap fishermen Bayon relief idealization vs historical reality;;Eleanor Mannikka "Angkor Wat" social iconography bas-reliefs

F|Raccords pierre: reconstruction EFEO post-1907 invisible|Anastylose EFEO (École Française d'Extrême-Orient) 1907-1970 -> réassemblage massif blocs effondrés [4]. Certains panneaux = mélange blocs originaux + blocs replacés par archéologues français. Aucun marquage systématique visible pour touriste.|Joints modernes (ciment gris) vs joints anciens (latérite érodée). Chercher discontinuités narratives: personnage coupé net, scène sans début ni fin logique. Galerie nord-ouest particulièrement concernée.|M|EFEO anastylosis Bayon restoration 1907 1970 stone blocks replaced;;École Française Extrême-Orient Angkor Bayon reconstruction methodology;;EFEO archives Angkor restoration reports Bayon gallery;;Angkor Conservation Office EFEO anastylosis documentation Bayon

P|Dévas vs Asuras: cosmologie = légitimation royale|Barattage Océan de Lait (Churning of Sea of Milk) -> mythe hindou Samudra Manthan réemployé iconographie bouddhiste Bayon [1][2]. Roi = pivot Meru. Représentation systématique -> légitimation divine du pouvoir temporel. Même mécanique que droit divin européen, Louis XIV Versailles.|Frise serpent Nâga tenu par dévas (dieux) d'un côté, asuras (démons) de l'autre. Colonne centrale = axis mundi = roi. Comparer avec allégories royales plafond Versailles: même structure symbolique, autre vocabulaire.|H|Churning Ocean of Milk Angkor Bayon iconography royal legitimacy;;Samudra Manthan Khmer kingship devaraja concept Bayon;;Angkor devaraja concept Hindu Buddhist kingship legitimacy;;Coedès "Le culte de la royauté divinisée" Angkor devaraja

C|Scooter-tour: profanation commerciale quotidienne|Site UNESCO depuis 1992 [5]. Flux ~2,6 millions touristes/an pré-COVID (pic 2019). Bayon = point d'arrêt obligatoire circuits 30min. Reliefs vie quotidienne = décor selfie. Aucun panneau explicatif sur signification cosmologique des scènes.|@Galerie intérieure niveau 1: groupes guidés 15min chrono. Lumière artificielle torche smartphone sur reliefs. Usure mécanique base des piliers = poli anormal. Comparer état photos EFEO 1930 vs 2020: dégradation surface visible.|H|Angkor Bayon tourism impact UNESCO 2019 visitor numbers;;Angkor Conservation APSARA authority over-tourism relief degradation;;UNESCO Angkor Wat heritage site management tourism pressure 2019;;Bayon temple tourist erosion stone surface degradation documentation

C|Bouddhisme theravada post-Angkor: effacement brahmanisme|Déclin empire Khmer XIVe-XVe s. -> conversion progressive theravada [1]. Reliefs brahmaniques Bayon NON détruits mais réinterprétés localement comme "ancêtres bouddhistes". Syncrétisme de surface masquant rupture théologique radicale.|Moines actuels @Bayon pratiquent rituels theravada devant reliefs iconographie mahayana/hindoue. Offrandes lotus devant Avalokitesvara = bodhisattva absent du canon theravada. Contradiction doctrinale visible quotidiennement.|M|Theravada Buddhism Angkor post-14th century conversion Brahmanical iconography;;Khmer Buddhism shift Mahayana Theravada Angkor decline;;Bayon Avalokitesvara worship Theravada monks doctrinal contradiction;;Ashley Thompson "Mémoires du Cambodge" bouddhisme theravada Angkor

F|Nâgas décapités: iconoclasme post-Angkor daté?|Plusieurs balustrades Nâga (serpent cosmique) @accès Bayon -> têtes manquantes [4]. Hypothèses: vol XIXe-XXe s. / iconoclasme theravada anti-hindou / dégradation naturelle. Pillage systématique têtes Nâga Angkor documenté marché art asiatique 1960s-1990s.|Moignons nets sur balustrades est et nord. Section propre suggère outil métallique, pas fracture naturelle. Comparer avec têtes Nâga collections Musée Guimet Paris + Musée National Phnom Penh: provenance "Angkor région".|M|Naga balustrade heads missing Angkor Bayon theft art market;;Angkor looting 1960s 1990s Naga sculpture heads international art market;;Musée Guimet collection khmère provenance Angkor têtes Nâga;;Emma Bunker "Adoration and Glory" Khmer sculpture looting provenance

===MASTER_INDEX===
[1] Coedès, George. "Les États hindouisés d'Indochine et d'Indonésie". EFEO, 1948. / "Pour mieux comprendre Angkor". Maisonneuve, 1947.
[2] Jacques, Claude. "Angkor". Bordas, 1990. Chronologie khmère et sources épigraphiques.
[3] Coe, Michael D. "Angkor and the Khmer Civilization". Thames & Hudson, 2003. Organisation sociale et inscriptions Ta Prohm/Preah Khan.
[4] EFEO (École Française d'Extrême-Orient). Archives Angkor Conservation, rapports anastylose Bayon 1907-1970. Fonds Siem Reap.
[5] UNESCO. "Angkor World Heritage Site", inscription 1992. Rapports état conservation 2019.
