F|Appareil de pierre hétérogène|Tronçon rue Clovis: assises inférieures en grand appareil calcaire lutétien ~XIIe s. [1] vs assises supérieures en moellons irréguliers -> reprise post-incendie ou réfection d'urgence non datée dans sources officielles.|Rupture visible de l'appareil à ~mi-hauteur du parement conservé. Changement de module et de mortier perceptible à l'œil nu.|M|muraille Philippe Auguste rue Clovis appareil pierre hétérogène reprise maçonnerie;;enceinte Philippe Auguste Paris archéologie du bâti analyse stratigraphique;;Paris muraille médiévale calcaire lutétien moellon XIIe XIIIe siècle étude archéologique;;Roblin Fleury muraille Philippe Auguste étude pierre
F|Contrefort absent: brèche comblée|Relevés Hoffbauer / Vacquer XIXe s. signalent contreforts réguliers côté est [2]. Tronçon rue Clovis: espacement irrégulier -> contrefort manquant comblé par maçonnerie hétérogène postérieure.|Zone de remplissage entre deux contreforts existants. Mortier de teinte plus claire, pierres plus petites, sans chaînage.|M|muraille Philippe Auguste contreforts rue Clovis relevé Vacquer Hoffbauer;;enceinte Philippe Auguste Paris plan contreforts espacement irrégulier;;Théodore Vacquer fouilles Paris muraille médiévale notes manuscrites;;Commission du Vieux Paris muraille Philippe Auguste relevé XIXe
P|Philippe Auguste: chantier de propagande|Enceinte décidée ~1190 avant départ croisade [3]. Fonction réelle: verrouiller Paris contre le Plantagenêt. Discours officiel = "protection des bourgeois". Réalité: contrôle fiscal des portes et taxation des marchandises entrant.|Portes de l'enceinte = points de péage documentés. Aucune porte conservée rue Clovis mais tracé impose une déviation de voirie antérieure.|H|Philippe Auguste enceinte Paris 1190 croisade fonction fiscale péage portes;;muraille Philippe Auguste taxation marchandises portes Paris médiéval;;Baldwin Philippe Auguste Paris fortification political context;;Bautier Robert-Henri Philippe Auguste Paris administration royale
P|Tracé de l'enceinte: expropriations silencieuses|Construction ~1190-1215 [3] -> tracé rectiligne impose démolition de bâti existant sur rive gauche. Aucun registre d'indemnisation connu pour cette période. Droit capétien: le roi ne dédommage pas.|Tracé coupe des parcelles antérieures visibles dans le cadastre médiéval reconstitué. Aucune mention d'indemnisation dans cartulaires connus.|M|enceinte Philippe Auguste expropriations démolitions rive gauche Paris 1190-1215;;cartulaire Saint-Germain-des-Prés enceinte Philippe Auguste parcelles;;construction muraille Paris XIIe siècle démolition habitat droit royal capétien;;Lombard-Jourdan Paris genèse médiévale enceinte parcellaire
S|Main-d'œuvre du chantier: invisibles|Chantier enceinte ~1190-1215 [3]: aucun registre nominatif d'ouvriers conservé pour la rive gauche. Comptes royaux de Philippe Auguste très lacunaires pour ce poste. Ouvriers = corvéables, serfs, manœuvres non identifiés.|Aucune stèle, aucune inscription funéraire d'ouvrier sur le tronçon. Le silence documentaire est lui-même une preuve de statut social.|M|registres ouvriers chantier enceinte Philippe Auguste Paris XIIe XIIIe siècle;;comptes royaux Philippe Auguste construction muraille main-d'oeuvre;;corvée construction fortification capétienne Paris médiéval sources;;Baldwin John W. Government of Philip Augustus finances chantiers
S|Démolition du bâti gallo-romain préexistant|Tracé rive gauche coupe le cardo antique et des substructions gallo-romaines [4]. Construction muraille -> destruction partielle de vestiges antiques sans documentation. Fouilles Vacquer XIXe s. attestent superposition.|Fondations de la muraille reposent partiellement sur des substructions antiques visibles lors de fouilles de tranchées XIXe s. [2].|M|muraille Philippe Auguste fondations gallo-romaines rive gauche Paris superposition;;Théodore Vacquer notes fouilles rue Clovis substructions antiques;;Paris archéologie rive gauche cardo gallo-romain enceinte médiévale;;Busson Dutour Paris croissance urbaine antique médiéval superposition
F|Niveau de sol médiéval enfoui|Sol de circulation médiéval @rue Clovis enfoui à ~3-4m sous le niveau actuel [4]. Tronçon conservé = fragment émergé d'une stratigraphie bien plus dense. La base de la muraille visible n'est pas la base réelle de la fondation.|Pied du mur visible = niveau de remblai XIXe s. La fondation réelle est sous le trottoir actuel. Aucun accès public à cette stratigraphie.|H|niveau sol médiéval Paris rive gauche profondeur stratigraphie archéologique;;muraille Philippe Auguste fondations profondeur fouilles archéologiques Paris;;Paris archéologie urbaine stratigraphie médiévale rive gauche profondeur;;Velay Philippe Paris médiéval archéologie urbaine
P|Lycée Henri-IV: muraille instrumentalisée|Incorporation de la muraille dans les bâtiments du lycée Henri-IV [5] -> accès au parement intérieur impossible sans autorisation. L'État conserve mais confisque le regard. Aucune fouille archéologique systématique du parement intérieur n'a été publiée à ce jour.|Parement intérieur (côté cour du lycée) inaccessible au public. Seul le parement extérieur rue Clovis est visible. Asymétrie d'accès documentaire.|M|muraille Philippe Auguste lycée Henri-IV parement intérieur accès fouilles archéologiques;;enceinte Philippe Auguste Paris conservation monument historique accès recherche;;lycée Henri-IV Paris muraille médiévale intégration bâtiment classement;;Commission du Vieux Paris muraille Philippe Auguste lycée Henri-IV
C|Muraille classée: vitrine touristique stérile|Classement Monument Historique [5] -> aucune fouille stratigraphique récente publiée sur ce tronçon. Panneau explicatif = récit lissé sans mention des déplacés, des ouvriers, du coût fiscal. Mise en scène = "patrimoine" sans histoire sociale.|Panneau pédagogique rue Clovis: dates et rois. Zéro mention des populations expropriées, des ouvriers, du rôle fiscal des portes.|H|muraille Philippe Auguste rue Clovis classement monument historique date;;enceinte Philippe Auguste Paris panneau explicatif médiation culturelle;;muraille Philippe Auguste Paris fouilles archéologiques récentes publication;;Inventaire général patrimoine muraille Philippe Auguste Paris fiche
F|Arrachement de chaînage: violence structurelle|Tronçon rue Clovis présente des négatifs de chaînage en bois (trous horizontaux réguliers dans l'appareil) [1] -> bois arraché ou pourri. Traces = positif d'un système constructif médiéval disparu et d'une dégradation non documentée.|Séries de trous horizontaux de section sub-carrée dans l'appareil, régulièrement espacés en hauteur. Négatifs d'ancrage ou de coffrage.|L|muraille Philippe Auguste trous chaînage bois appareil négatifs coffrage construction médiévale;;enceinte médiévale Paris techniques construction chaînage bois calcaire;;archéologie du bâti muraille médiévale négatifs bois ancrage;;Bessac Jean-Claude pierre construction médiévale techniques chaînage
