F|Reliefs Bayon: couche bouddhiste sur hindoue|Jayavarman VII (r. 1181-1218) -> conversion site shivaïte préexistant. Galeries inférieures Bayon = réemploi iconographique massif [1]. Figures hindoues remplacées par bodhisattvas.|Surfaces planes anormales entre panneaux narratifs. Contours résiduels de divinités hindoues visibles en lumière rasante, galerie est niveau 2.|M
F|Visages Bayon: identité réelle contestée|54 tours -> 216 visages. Identification Avalokitesvara universellement acceptée MAIS Coedès 1935 propose portrait Jayavarman VII [1]. Aucune inscription confirme. Ambiguïté politique délibérée: roi = dieu vivant.|Visages identiques reproduits mécaniquement. Aucune variation individuelle. Comparer avec portraits sculptés Jayavarman VII, musée Phnom Penh: même morphologie.|M
P|Propagande gravée: victoire navale fabriquée|Bas-relief galerie sud (section est), niveau 1: bataille navale Tonlé Sap vs Chams [2]. Khmers représentés victorieux. OR: Chams avaient SACCAGÉ Angkor en 1177 -> victoire finale de 1181 seulement. Chronologie manipulée, défaite initiale effacée.|Séquence narrative relief: pas de représentation de la chute d'Angkor 1177. Ellipse visuelle entre invasion et contre-attaque. Rupture stylistique entre deux panneaux contigus.|M
S|Ouvriers Bayon: corvée royale non documentée|Construction Bayon estimée fin XIIe-début XIIIe s. -> mobilisation corvéable (besdaṃ) massive [3]. Inscription Ta Prohm (1186) cite ~80.000 personnes assignées au service du complexe. Aucun registre de mortalité chantier conservé.|Aucune stèle commémorative ouvrière @Bayon. Comparer avec inscriptions Ta Prohm et Preah Khan qui listent personnel religieux mais JAMAIS manœuvres.|H
S|Pêcheurs Tonlé Sap: seuls Khmers visibles pauvres|Reliefs vie quotidienne galerie sud: scènes marché, cuisine, pêche Tonlé Sap [3]. Pêcheurs et paysans représentés = classes sociales productives visibles. Iconographie montre abondance. Aucune représentation de famine ou épuisement des ressources.|Panneaux galerie sud-est: filets, barques, poissons en abondance. Représentation idéalisée. Aucun corps, aucune scène de disette.|L
F|Raccords pierre: reconstruction EFEO post-1907 invisible|Anastylose EFEO 1907-1970 -> réassemblage massif blocs effondrés [4]. Panneaux = mélange blocs originaux + blocs replacés (notamment par Maurice Glaize 1939-1946). Aucun marquage systématique visible pour touriste.|Joints modernes (ciment gris) vs joints anciens (latérite érodée). Chercher discontinuités narratives: personnage coupé net, scène sans début ni fin logique. Galerie nord-ouest particulièrement concernée.|M
P|Dévas vs Asuras: cosmologie = légitimation royale|Barattage Océan de Lait (Samudra Manthan) -> mythe hindou réemployé iconographie bouddhiste Bayon [1][2]. Roi = pivot Meru. Représentation systématique -> légitimation divine du pouvoir temporel.|Frise serpent Nâga tenu par dévas (dieux) d'un côté, asuras (démons) de l'autre. Colonne centrale = axis mundi = roi. Comparer avec allégories royales plafond Versailles: même structure symbolique.|H
C|Scooter-tour: profanation commerciale quotidienne|Site UNESCO depuis 1992 [5]. Flux ~2,2 millions touristes/an en 2019 (pré-COVID). Bayon = point d'arrêt obligatoire. Reliefs vie quotidienne = décor selfie. Aucun panneau explicatif sur signification cosmologique.|@Galerie intérieure niveau 1: usure mécanique base des piliers = poli anormal. Comparer état photos EFEO 1930 vs 2020: dégradation surface visible.|H
C|Bouddhisme theravada post-Angkor: effacement brahmanisme|Déclin empire Khmer XIVe-XVe s. -> conversion progressive theravada [1]. Reliefs brahmaniques Bayon NON détruits mais réinterprétés localement comme "ancêtres bouddhistes". Syncrétisme de surface masquant rupture théologique.|Moines actuels @Bayon pratiquent rituels theravada devant reliefs iconographie mahayana/hindoue. Offrandes lotus devant Avalokitesvara. Contradiction doctrinale visible quotidiennement.|M
F|Nâgas décapités: iconoclasme post-Angkor daté?|Plusieurs balustrades Nâga @accès Bayon -> têtes manquantes [4]. Hypothèses: vol / iconoclasme / dégradation naturelle. Pillage systématique têtes Nâga Angkor documenté sur le marché de l'art 1960s-1990s.|Moignons nets sur balustrades est et nord. Section propre suggère outil métallique, pas fracture naturelle. Comparer avec têtes Nâga collections Musée Guimet Paris: provenance "Angkor région".|M
