F|Piliers nord: reprise maçonnerie suspecte|Piliers nord-est de la nef -> assises de pierre hétérogènes, ~XIIIe s. vs XIIe s. [1]. Rupture de module visible -> campagne de reconstruction non documentée.|Alternance calcaire lutétien/calcaire grossier sur fûts. Joints refaits à mortier plus clair. Visible à l'oeil nu, travée 3-4 nord.|M|Notre-Dame Paris piliers nef anomalie maçonnerie XIIIe siècle reprise;;Notre-Dame chantier médiéval campagnes construction phasage archéologique;;Jean-Michel Leniaud Notre-Dame Paris histoire architecture;;Dany Sandron Notre-Dame Paris archéologie du bâti
F|Crypte: mur gallo-romain réemployé|Fouilles 1965-1972 @crypte archéologique -> mur de quai gallo-romain IIe s. réemployé comme fondation directe du chœur médiéval [2]. Aucune démolition: superposition brute.|Crypte archéologique: appareil romain opus incertum sous semelle de fondation gothique. Visible depuis passerelle visite.|H|crypte archéologique Notre-Dame Paris fouilles 1965 Michel Fleury;;Notre-Dame Paris fondations gallo-romaines réemploi archéologie;;fouilles Parvis Notre-Dame 1965-1972 résultats stratigraphie;;Michel Fleury fouilles Paris Île de la Cité résultats
P|Évêque Maurice de Sully: expulsion 1163|Lancement chantier 1163 -> démolition église Saint-Étienne + baptistère Saint-Jean [3]. Populations paroissiales déplacées sans relogement documenté. Maurice de Sully -> opération foncière autant que spirituelle.|Aucune trace physique de Saint-Étienne in situ. Crypte: fondations absidales antérieures au gothique identifiées.|H|Maurice de Sully évêque Paris 1163 démolition Saint-Étienne cathédrale;;Notre-Dame Paris chantier 1163 destruction église antérieure sources médiévales;;cathédrale mérovingienne Saint-Étienne Paris emplacement fouilles;;Île de la Cité XIIe siècle démolitions chantier episcopal
S|Carriers de Vaugirard: morts anonymes|Extraction calcaire lutétien @carrières Vaugirard/Montrouge -> accidents documentés dans comptes de fabrique XIIIe s. [4]. Ouvriers carriers = serfs ou journaliers, zéro mention nominale. Seuls les maîtres d'oeuvre sont nommés.|Pierre de taille identifiable par lit de carrière: calcaire à coquilles @nef basse. Aucune épitaphe ouvrière dans le monument.|M|carriers médiévaux Paris XIIIe siècle accidents carrières calcaire lutétien;;comptes de fabrique Notre-Dame Paris XIIIe siècle ouvriers;;carrières Vaugirard Montrouge moyen âge exploitation conditions;;main d'oeuvre chantiers cathédrales gothiques mortalité sources comptables
S|Taille des pierres: enfants compagnons|Comptes de fabrique @Notre-Dame XIIIe-XIVe s. -> mention "garciones" (garçons de chantier) rémunérés ~1/4 du salaire adulte [4]. Tâches: transport, mortier, échafaudages. Age non précisé. Aucune protection juridique canonique applicable.|Pas de trace physique directe. Déduction comptable.|M|comptes de fabrique cathédrale Paris XIIIe siècle garciones salaires enfants;;travail enfants chantiers médiévaux cathédrales sources comptables;;Notre-Dame Paris registres comptables médiévaux Archives nationales;;Alain Erlande-Brandenburg Notre-Dame Paris chantier médiéval
P|Philippe IV: arrestation Templiers 1307 @parvis|13/10/1307 -> arrestations massives Templiers ordonnées depuis Paris. Parvis Notre-Dame = lieu de lecture publique des accusations royales [5]. Clergé cathédral contraint de cautionner la procédure inquisitoriale.|Parvis: aucune stèle. Dalle commémorative absente. Silence monumental total sur événement majeur.|H|arrestation Templiers 13 octobre 1307 Paris Philippe IV procédure;;lecture publique accusations Templiers parvis Notre-Dame sources;;procès Templiers 1307-1314 rôle clergé parisien;;Malcolm Barber Trial of the Templars sources primaires
P|Évêque Simon Matifas: censure 1290|Simon Matifas de Bucy -> condamne et fait brûler @parvis ~1290 le Talmud sur injonction royale [6]. Cathédrale = instrument de politique antisémite capétienne. Autodafé organisé par institution épiscopale.|Parvis: lieu de l'autodafé. Aucune mention dans iconographie intérieure. Effacement mémoriel total.|H|autodafé Talmud Paris 1290 évêque Simon Matifas;;brûlement Talmud Paris XIIIe siècle politique royale capétienne;;Talmud trial Paris 1240 1290 bishop involvement;;Robert Chazan medieval jewry northern France royal policy
F|Portail nord: remploi de claveaux hétérogènes|Portail nord (Vierge) -> plusieurs claveaux de l'archivolte externe présentent un module légèrement inférieur aux claveaux voisins [1]. Hypothèse: remploi de matériaux d'un portail antérieur avorté ou démoli ~1210-1220.|Archivolte externe portail nord: variation ~2-3cm de hauteur de claveau. Joints de reprise visibles en lumière rasante.|L|Notre-Dame Paris portail nord archivolte remploi matériaux construction;;chantier portails Notre-Dame Paris chronologie 1200-1250 sources;;Dany Sandron Paris Notre-Dame portails sculpture chronologie;;portail Vierge Notre-Dame Paris campagne construction XIIIe siècle
C|Jubé démoli 1699: vandalisme liturgique|Jubé gothique XIVe s. -> démoli 1699 sur ordre chapitre + Louis XIV [7]. Destruction d'une structure médiévale majeure pour "moderniser" le choeur. Opération de prestige royal masquée en réforme liturgique. Hors période cible mais destruction d'un objet médiéval.|Choeur: aucun vestige in situ. Fragments conservés @Musée de Cluny (quelques reliefs). Discontinuité spatiale entre nef et choeur.|H|jubé Notre-Dame Paris démolition 1699 Louis XIV chapitre;;jubé médiéval Notre-Dame fragments Musée de Cluny;;Notre-Dame Paris choeur réaménagement XVIIe siècle sources;;Pierre du Colombier art gothique France jubé
P|Capétiens: financement -> contrôle chapitre|Louis VII -> donation foncière 1163 @Île de la Cité conditionnée à droit de regard royal sur nominations canoniales [3]. Cathédrale = instrument de légitimation dynastique dès la pose de la première pierre. Maurice de Sully = prélat royal autant qu'ecclésiastique.|Trésor: insignes royaux. Chapelles latérales -> fondations anniversaires royaux exclusivement. Aucune chapelle de métier ou populaire médiévale subsistante.|M|Louis VII Maurice de Sully financement cathédrale Paris 1163 contrôle chapitre;;relations évêque Paris roi France XIIe siècle sources diplomatiques;;Notre-Dame Paris fondations chapelles latérales donateurs royaux médiévaux;;Raymonde Foreville église et royauté France médiévale
