F|Fondations Bouddhistes et Sanctuaires Hindous|Preah Khan construit en 1191 sur site victoire Jayavarman VII vs Chams [1]. Sanctuaire central Mahayana ; sanctuaires satellites dédiés à Vishnu (ouest) et Shiva (nord) intégrés dès la fondation.|Socles de linga et iconographie mixte (bouddhisme/hindouisme) présents dès la construction. Shrines hindous entourant le sanctuaire central.|H
F|Trous de Tenons Arrachés - Bouddhas Martelés|Successeur Jayavarman VIII (règne ~1243-1295) -> campagne brahmaniste systématique. Bouddhas arrachés des niches. Traces d'extraction visibles dans la pierre.|Niches vides avec trous carrés de fixation. Pierre intacte autour -> extraction organisée, pas vandalisme spontané.|H
F|Salle aux Colonnes Rondes - Anomalie Structurelle|Galerie à colonnes cylindriques @ Preah Khan = unique à Angkor [2]. Colonnes rondes vs carrées partout ailleurs. Fonction débattue: bibliothèque / granat / stockage de l'épée sacrée.|Structure à deux étages avec colonnes cylindriques lisses. Rupture visuelle avec galeries adjacentes à piliers carrés.|M
P|Temple-Université = Puissance Dynastique|Stèle de Preah Khan (1191) gravée en sanskrit [3] -> 97.840 personnes assignées au service du temple. Chiffre = démonstration de puissance impériale. Jayavarman VII = premier roi khmer à graver son bilan social comme légitimation divine.|Stèle découverte en 1939 par Maurice Glaize. Inscription lisible détaillant le personnel et les donations (or, argent, perles).|H
S|97.840 Personnes Assignées - Servitude Sacrée|Stèle 1191 [3] -> 97.840 serviteurs (khñuṃ vraḥ) "offerts" au temple: 1000 danseurs, enseignants, cuisiniers. Statut de servitude lié à la divinité (esclaves du dieu).|Stèle: colonnes de chiffres en sanskrit. Catégories de personnel listées par fonction. Zéro mention de salaire ou contrepartie.|H
P|EFEO Restauration Sélective|EFEO -> travaux Preah Khan dès 1927-1932 [5]. Choix de laisser certains secteurs en l'état pour préserver l'aspect "jungle" et respecter les arbres géants intégrés aux ruines.|Contraste visible: zones consolidées par anastylose partielle (1939) vs zones abandonnées aux racines de fromagers.|M
F|Arbres Étrangleurs et Abandon|Fromagers (Tetrameles nudiflora) et figuiers étrangleurs intégrés aux structures [6]. Déclin du temple lié à l'arrêt du soutien royal vers le XVe siècle.|Racines plaquées sur linteaux sculptés. Certaines racines soutiennent physiquement la structure des gopuras.|M
C|Boutiques Souvenir sur Enceinte Sacrée|Occupation illégale de l'enceinte par des vendeurs [8]. Traces d'activités commerciales directement contre les murs classés UNESCO. Efforts d'APSARA pour libérer les zones de patrimoine.|Bâches et étals de souvenirs à proximité des entrées. Traces de fumée sur certains bas-reliefs.|M
P|Jayavarman VII - Bouddhisme comme Légitimité|Jayavarman VII -> premier roi khmer adoptant le bouddhisme Mahayana comme religion d'État [1]. Roi identifié au Bodhisattva (Lokesvara). Preah Khan dédié à son père comme Lokesvara.|Visage serein sur les tours (style Bayon) interprété comme portrait de Jayavarman VII ou d'Avalokiteshvara.|H
S|Déplacements Villageois - Zone UNESCO|Classement UNESCO 1992 -> création d'un périmètre de protection. Expulsions de milliers de familles (2022) vers des sites de relocalisation (Run Ta Ek).|Familles forcées au départ sous pression d'APSARA. Sites de relocalisation manquant de services essentiels selon Amnesty International.|M
C|Ticket Angkor Pass - Gestion Publique|Angkor Pass 37 USD/jour 2024 [10]. Recettes gérées par Sokimex jusqu'en 2016, puis par l'entreprise publique ANGKOR ENTERPRISE.|Guichets officiels gérés par Angkor Enterprise (sous tutelle Tourisme et Finances). Don de 2 USD par ticket à la fondation Kantha Bopha.|H
