S|Operai Cupola: Sicurezza e Infortuni|1420-1436: un solo morto documentato (Nencino di Chello, 1422) e circa 8 feriti gravi [2]. Brunelleschi impone parapetti e misure di sicurezza; l'Opera paga cure e funerali.|Nessuna targa commemorativa @cantiere o @interno cattedrale.|M
P|Facciata Falsa: Tre Secoli Vuoti|Facciata medievale demolita 1587 su ordine di Francesco I de' Medici [3]. Cattedrale rimane con facciata nuda in mattoni per circa 300 anni fino all'inaugurazione del 12 maggio 1887.|Facciata 1887: marmo bianco/verde/rosa. Discontinuità stilistica netta vs fianchi trecenteschi.|H
P|Pazzi Conspiracy: Altare Come Arma|26 aprile 1478: Giuliano de' Medici viene ucciso nel coro/altare maggiore durante la messa pasquale [5]. Complicità di Papa Sisto IV e della famiglia Pazzi documentata.|Navata centrale: punto esatto omicidio marcato da nessun segno ufficiale. Silenzio fisico totale.|H
P|Lorenzo Vendetta: 80 Impiccati|Post-1478: vengono eseguite circa 80 condanne a morte, inclusa quella dell'arcivescovo Salviati, impiccato alle finestre del Palazzo della Signoria [6]. Corpi esposti come monito.|Palazzo della Signoria: finestre originali ancora visibili. Dipinto Botticelli perduto, noto da fonti.|H
C|Reliquie Laiche: Dito di Galileo|Dito medio di Galileo esposto @Museo Galileo, prelevato 12/03/1737 durante la traslazione della salma verso la tomba monumentale in Santa Croce [7]. Lo scienziato fu riabilitato con sepoltura in terra consacrata.|Museo Galileo: dito in teca di cristallo. Simbolo laico della libertà di pensiero.|H
P|Savonarola Bruciato: Chiesa Complice|23 maggio 1498: Savonarola impiccato e bruciato @Piazza della Signoria su ordine di Papa Alessandro VI Borgia [10]. Aveva predicato @Duomo contro la corruzione ecclesiastica.|Piazza della Signoria: targa commemorativa circolare sul selciato. Pulpito Duomo da cui predicò: ancora esistente.|H
F|Cripta: Fondazioni Sotto il Pavimento|Sotto il Duomo si trovano i resti della basilica paleocristiana Santa Reparata, scavati tra il 1965 e il 1973 [11]. Sito archeologico aperto al pubblico nel 1974.|Ingresso cripta Santa Reparata @interno Duomo: scala tra i primi pilastri. Mosaici romani e tomba Brunelleschi visibili.|H
C|Cupola: 1.4 Milioni Turisti, Gestione Onlus|I monumenti del complesso ricevono ~1.4 milioni visitatori/anno (dato 2024) [12]. Brunelleschi Pass costa 30€. Gestione affidata all'Opera di Santa Maria del Fiore, Onlus dal 1998.|Fila permanente @esterno cupola. Merchandise store @uscita. Bilancio di sostenibilità pubblico.|M
P|Marmo Prato: Estetica Territoriale|Marmo verde @facciata e fianchi Duomo è "serpentino" proveniente dalle cave di Figline di Prato [13]. Prato fu acquistata da Firenze nel 1351 per 17.500 fiorini.|Fasce verdi marmo: serpentino di Prato identificabile per colore specifico vs bianco Carrara.|H
S|Espropri Trecento: Case Demolite|Ampliamento cattedrale 1296-1375: per far posto al nuovo Duomo e alla piazza furono demoliti interi quartieri, botteghe e un'area cimiteriale [14].|Piazza del Duomo attuale: spazio anomalo per città medievale densa -> traccia diretta delle demolizioni.|M
F|Lanterna Cupola: Modello e Completamento|Modello della lanterna approvato nel 1432; costruzione avviata da Michelozzo l'11 agosto 1446, pochi mesi dopo la morte di Brunelleschi [15]. Lanterna terminata nel 1461.|Museo Opera del Duomo: modello ligneo esposto. Confronto visivo con lanterna reale possibile da piazza.|M
