F|Visages Bayon: Jayavarman ou Bouddha?|Identité iconographique débattue: visages tours Bayon = Jayavarman VII (r. 1181-1218) OU Bodhisattva Avalokitesvara [1]. Consensus actuel: syncrétisme délibéré, roi = dieu incarné -> propaganda d'état gravée dans grès.|54 tours. ~216 visages. Sourire serein sur chaque face cardinale. Aucune inscription nominative sur les tours elles-mêmes.|H
P|Bayon Construit Sur Temple Rival|Bayon érigé ~1190-1220 @centre Angkor Thom sur structures antérieures hindoues [2]. Jayavarman VII -> conversion bouddhiste imposée -> effacement physique culte shivaïte précédent. Réutilisation fondations.|Blocs de grès réemployés visibles en base de certaines tours. Joints irréguliers trahissent matériaux hétérogènes.|M
P|Brahmanisme Restauré, Bouddhas Mutilés|Successeurs de Jayavarman VII (post-1220) -> retour hindouiste [3]. Campagne systématique: images bouddhistes martelées, Bouddhas décapités, inscriptions effacées. Violence d'état religieuse gravée dans la pierre.|Niches vides @galeries Bayon. Têtes absentes sur nombreuses statues in situ. Traces de burin visibles sur certains bas-reliefs.|H
F|Raccords Pierre: Chantier Inachevé|Bayon modifié selon 3 phases de construction distinctes [4]. Plans changés en cours de chantier -> tours ajoutées sans logique radiale. Certains couloirs murés, d'autres percés après coup.|Couloirs @niveau 2 partiellement obstrués par maçonnerie postérieure. Alignements de tours non concentriques visibles depuis galerie haute.|H
S|Corvée Royale: Coût Humain Invisible|Inscription Ta Prohm (1186) [5] -> Jayavarman VII mobilise ~80,000 personnes pour entretien seul temple Ta Prohm. Bayon = projet plus vaste. Zéro registre de morts ouvriers. Système corvée = travail forcé.|Aucune stèle commémorative ouvrière @Bayon. Bas-reliefs @galerie externe: scènes de marché, cuisine, vie quotidienne -> population khmère ordinaire représentée mais anonymisée.|H
S|Bas-Reliefs: Guerre Cham, Victimes|Galerie externe Bayon -> bas-reliefs bataille navale lac Tonlé Sap vs Cham (1177-1181) [6]. Représentation khmère = victoire. Soldats cham et khmers morts représentés dans l'eau. Propagande visuelle.|@galerie externe est-sud: cadavres dans l'eau. Crocodiles dévorant corps. Soldats khmers victorieux. Asymétrie narrative gravée.|H
F|Sourire Bayon: Formule Géométrique Répétée|~216 visages identiques géométriquement [7]. Même angle de sourire, même largeur paupières. Hypothèse: gabarit unique utilisé par équipes de tailleurs différentes -> standardisation industrielle de l'image divine/royale.|Comparer visages tour nord-est vs tour sud-ouest: différences d'exécution mais morphologie identique. Gabarit = invisible mais détectable par mesure.|L
C|EFEO 1900s: Anastylose ou Réinvention?|EFEO (École Française d'Extrême-Orient) -> restaurations Bayon début XXe siècle [8]. Méthode anastylose = réassemblage blocs originaux. Mais: blocs manquants remplacés par béton ou grès neuf. Impossible distinguer original/moderne sans expertise.|Blocs couleur plus claire @certaines jonctions tours. Mortier moderne visible entre assises. Aucune signalétique distinguant original/restauré pour visiteur ordinaire.|H
C|Angkor: Parc à Thème UNESCO|Angkor Wat inscrit UNESCO 1992 [9]. Fréquentation: ~2,5 millions visiteurs/an (pic 2018). Bayon = "selfie spot" n°1 du site. Vendeurs souvenirs @entrée Angkor Thom. Mises en scène de moines pour photos signalées.|Stands souvenirs @porte sud Angkor Thom. Bonzes en robe safran positionnés @entrée Bayon. Panneaux UNESCO vs réalité commerciale.|H
P|Khmer Rouge: Angkor Récupéré|Khmer Rouge (1975-1979) -> Angkor Wat intégré drapeau national [10]. Bayon/Angkor = symbole identitaire instrumentalisé. Pendant même période: archéologues étrangers expulsés, population déplacée de force vers campagnes. Patrimoine glorifié, peuple détruit.|Drapeau cambodgien 1975-1979: silhouette Angkor Wat. @Bayon: aucune plaque commémorant période KR. Silence institutionnel.|H
P|Déforestation Coloniale Angkor|Forêt @Angkor défrichée par équipes EFEO début XXe pour dégager temples [11]. Décision esthétique coloniale: "ruines romantiques dans jungle" vs "monument dégagé". Racines d'arbres @Ta Prohm conservées = choix délibéré.|@Ta Prohm: arbres intégrés = décision EFEO 1930s de conserver "pittoresque". @Bayon: grès nu exposé aux intempéries depuis dégagement. Lichens noirs visibles.|M
