F|Hôpital Hôtel-Dieu: empreinte effacée|Hôtel-Dieu fondé ~651 -> reconstruction XIIe-XIIIe s. @parvis nord. Crypte révèle fondations antérieures à 1163 [1]. Murs capétiens sous murs capétiens.|Appareil de moellons calcaire irrégulier sous les assises gothiques. Rupture de plan visible @secteur nord-est de la crypte.|H|Crypte archéologique parvis Notre-Dame fondations Hôtel-Dieu médiéval;;fouilles parvis Notre-Dame 1965 Michel Fleury stratigraphie;;Hôtel-Dieu Paris origines médiévales topographie île de la Cité;;Paris île de la Cité archéologie médiévale fouilles preventives
F|Rupture d'appareil: mur XIIe réemployé|Assises de grand appareil calcaire lutetien -> rupture franche avec petit appareil XIIIe [1]. Réemploi de blocs antérieurs. Taillants visibles sur faces internes -> non destinés à être vus.|Blocs à taillants obliques parallèles sur face interne d'un mur @secteur central crypte. Changement de module lithique sans joint de reprise logique.|M|crypte archéologique Notre-Dame Paris réemploi blocs médiévaux;;fouilles île de la Cité Paris moyen âge appareil de construction;;archéologie du bâti Paris médiéval réemploi matériaux;;Michel Fleury fouilles parvis Notre-Dame rapport stratigraphique
F|Voirie carolingienne sous niveau capétien|Rue médiévale identifiée @fouilles 1965-1972 -> empierrements successifs scellés sous niveau XIIe [1]. Au moins trois états de voirie superposés. Dernier état antérieur à 1160-1180.|Bandes d'empierrement calcaire compacté, niveaux distincts séparés par limons de crue. Visibles en coupe @paroi ouest de la crypte.|H|fouilles parvis Notre-Dame 1965 voirie médiévale empierrement;;Michel Fleury Yves Burnand fouilles île de la Cité stratigraphie;;Paris médiéval rue carolingienne île de la Cité archéologie;;crypte archéologique Paris voirie antique médiévale niveaux
P|Philippe Auguste: remembrement forcé ~1200|Philippe Auguste -> régularisation parcellaire île de la Cité ~1190-1210 [2]. Expropriations sans indemnité documentées pour dégagement abords cathédrale. Logique royale = prestige vs coût humain nié.|Tracés de murs obliques @crypte -> non alignés sur voirie capétienne. Angles brisés = parcellaire pré-augustéen écrasé par nouveau plan orthogonal.|M|Philippe Auguste Paris expropriations île de la Cité réforme urbaine;;remembrement parcellaire Paris médiéval XIIe siècle cathédrale Notre-Dame;;topographie médiévale île de la Cité Philippe Auguste voirie;;John Baldwin Philippe Auguste gouvernement administration Paris
P|Chapitre Notre-Dame: mainmise foncière XIIIe|Chapitre cathédral -> acquisition systématique propriétés @parvis XIIIe s. [3]. Actes de cession sous contrainte documentés dans cartulaire. Pression canoniale = mécanisme d'éviction légalisé.|Fondations de bâtiments canonicaux empiétant sur voirie antérieure @secteur est crypte. Murs construits sur emprise de rue ancienne.|M|chapitre Notre-Dame Paris acquisitions foncières XIIIe siècle cartulaire;;cartulaire Notre-Dame Paris propriétés île de la Cité médiéval;;Guérard cartulaire Notre-Dame Paris édition;;chapitre cathédral Paris domaine foncier moyen âge
P|Grand Pont: péage royal, violence économique|Grand Pont @île de la Cité -> péage royal contrôlé par prévôt capétien XIe-XIIIe [2]. Tarifs discriminatoires documentés. Marchands forains -> taxation différentielle vs bourgeois parisiens.|Culées de pont médiéval identifiées @fouilles crypte secteur nord. Blocs de grand appareil -> infrastructure de contrôle fiscal matérialisée.|M|Grand Pont Paris médiéval péage prévôt capétien tarifs;;topographie Paris médiéval Grand Pont île de la Cité fouilles;;archéologie ponts médiévaux Paris île de la Cité;;Cazelles Paris médiéval administration royale XIIIe
S|Cimetière des Innocents: débordement @parvis|Surmortalité épidémique XIVe -> Cimetière des Innocents saturé. Inhumations de débordement documentées @abords île de la Cité [4]. Sépultures isolées -> réfugiés épidémiques sans statut.|Fosses sépulcrales isolées @fouilles 1965. Individus sans mobilier, sans orientation liturgique stricte -> inhumations d'urgence hors espace consacré.|M|inhumations médiévales parvis Notre-Dame fouilles 1965;;sépultures médiévales île de la Cité archéologie épidémie XIVe;;Cimetière des Innocents Paris débordement peste noire inhumations;;archéologie funéraire Paris médiéval XIVe siècle
S|Ouvriers cathédrale: mortalité invisible|Chantier Notre-Dame 1163 -> ~1250 [5]. Zéro registre nominatif d'ouvriers. Fractures de fatigue sur ossements @fouilles parvis -> traces ostéologiques de travail contraint.|Ossements @fouilles 1965 présentant pathologies articulaires et fractures de compression -> population laborieuse, non élite. Aucune sépulture individualisée.|M|ouvriers chantier cathédrale Notre-Dame Paris conditions travail médiéval;;ostéologie médiévale Paris chantier cathédrale pathologies travail;;bâtisseurs cathédrales médiévales conditions sociales mortalité;;Alain Erlande-Brandenburg Notre-Dame Paris chantier médiéval
S|Juifs île de la Cité: expulsion 1182 matérialisée|Philippe Auguste -> expulsion Juifs Paris 1182 [2]. Confiscation biens, synagogue @île de la Cité transformée. Topographie pré-expulsion = effacée volontairement du cadastre capétien.|Rupture de plan parcellaire @secteur nord-ouest crypte -> îlot entier réorganisé après 1182. Aucun vestige de bâtiment communautaire identifié = absence suspecte.|M|expulsion Juifs Paris 1182 Philippe Auguste synagogue île de la Cité;;topographie juive Paris médiéval île de la Cité archéologie;;communauté juive Paris XIIe siècle propriétés confiscation;;William Chester Jordan French Monarchy Jews Philippe Auguste
P|Évêque Maurice de Sully: autopromotion lapidaire|Maurice de Sully -> lancement chantier 1163. Iconographie @portails -> rôle épiscopal glorifié [5]. Aucune mention lapidaire du chapitre ni des financeurs laïcs. Réécriture en pierre de la paternité du monument.|Tympans et chapiteaux @crypte -> programme iconographique centré sur autorité épiscopale. Effacement visuel des donateurs laïcs concurrents.|M|Maurice de Sully évêque Paris Notre-Dame 1163 programme iconographique;;financement cathédrale Notre-Dame Paris XIIe siècle donateurs laïcs;;Alain Erlande-Brandenburg Maurice de Sully cathédrale Paris;;iconographie épiscopale cathédrales gothiques XIIe siècle pouvoir
