ANGLE_RECHERCHE|Période médiévale EXCLUSIVEMENT (environ 987-1500). Cible un public expert en histoire. Interdiction de vulgarisation excessive. Priorité aux détails architecturaux résiduels, aux strates urbaines enfouies, aux tensions politiques et sociales, aux anomalies historiographiques. Ignorer tout ce qui est moderne, Renaissance ou postérieur.
STRATEGIE|Paris médiéval: Anatomie d'une capitale en construction. Fil rouge: comment une île marécageuse devient le cœur d'un royaume capétien, en lisant les cicatrices physiques encore visibles dans le tissu urbain actuel. Angle forensic et sociétal pour expert.
Lieu|Île de la Cité - Vestiges du Palais de la Cité|Le palais des Capétiens avant que Philippe le Bel ne le cède. Chercher les traces de la résidence royale médiévale absorbée par le Palais de Justice actuel. Identifier les salles gothiques survivantes et les fondations englouties.
Lieu|Sainte-Chapelle|Lire cet édifice non comme une église mais comme un coffre-fort dynastique. L'obsession de Louis IX pour les reliques christiques comme instrument de légitimation politique face à Rome et à l'empire.
Lieu|Crypte Archéologique du Parvis Notre-Dame|La stratigraphie brute de Paris. Lire les fondations gauloises, la muraille gallo-romaine et les structures médiévales superposées comme un palimpseste urbain. Un laboratoire de lecture du sol.
Lieu|Notre-Dame de Paris - Structure gothique|Au-delà de la cathédrale reconstruite: analyser la logique structurelle gothique comme technologie de propagande capétienne. Les campagnes de construction successives et les luttes de juridiction entre l'évêché et la Couronne inscrites dans la pierre.
Theme|La rive gauche médiévale et la naissance de l'Université|Comment Philippe II Auguste et ses successeurs instrumentalisent l'Université de Paris pour contrôler la pensée théologique en Europe. Les conflits entre la Nation des étudiants et le pouvoir royal. Chercher les traces physiques du quartier universitaire médiéval.
Lieu|Rue Saint-Jacques et ancienne Via Turonensis|Lire cette artère comme la colonne vertébrale pèlerine de Paris médiéval. Chercher les hôpitaux pour pèlerins disparus, les coquilles Saint-Jacques gravées et les haltes aujourd'hui absorbées par le bâti.
Lieu|Tour Jean-sans-Peur|Vestige rarissime d'un hôtel aristocratique médiéval parisien. L'analyser dans le contexte de la guerre civile Armagnacs-Bourguignons et de l'assassinat de Louis d'Orléans en 1407. Une tour construite par culpabilité et stratégie politique.
Theme|La Grande Peste de 1348 et la recomposition sociale de Paris|Chercher les traces de la mortalité de masse dans la topographie: anciens cimetières d'urgence, mutations du tissu paroissial, disparition de rues entières. Comment la dépopulation restructure le pouvoir foncier et les rapports de force sociaux.
Lieu|Cimetière des Innocents - Emplacement actuel Square des Innocents|Le charnier principal de Paris médiéval, aujourd'hui une fontaine et un square. Reconstituer l'économie macabre de ce lieu: entassement des ossements, danse macabre peinte sur ses murs, rôle social et commercial de cet espace jusqu'à sa suppression en 1786.
Theme|Les murailles de Paris: de Philippe Auguste à Charles V|Lire l'expansion des enceintes successives comme un indicateur de puissance et de vulnérabilité. Chercher les tronçons survivants de la muraille de Philippe Auguste (rue Clovis, jardins privés, caves). Comprendre pourquoi Charles V construit une nouvelle enceinte et ce qu'elle révèle de la peur après la Jacquerie.
Lieu|Tronçon de la muraille de Philippe Auguste - Rue Clovis|L'un des rares fragments visibles de la première grande enceinte médiévale de Paris (1190-1215). Analyser sa technique de construction, son épaisseur et sa logique défensive dans le contexte des guerres contre les Plantagenêts.
Theme|La condition juive à Paris médiéval et les expulsions capétiennes|Cartographier l'ancien quartier juif autour de l'actuelle rue de la Juiverie sur l'Île de la Cité, aujourd'hui disparue. Analyser les expulsions de 1182, 1306 et 1394 comme outils fiscaux et politiques des rois capétiens et valois. Chercher les traces toponymiques résiduelles.
Lieu|Conciergerie|Lire les salles basses gothiques comme les cuisines et les services du palais royal médiéval originel. Restituer la vie quotidienne de la cour capétienne avant d'analyser la transformation en prison. La salle des Gens d'armes comme chef-d'œuvre d'architecture civile gothique.
Theme|Les métiers et les corporations médiévales: le pouvoir d'Étienne Boileau|Le "Livre des métiers" de 1268 comme radiographie de l'économie urbaine médiévale. Chercher dans la toponymie actuelle les rues des corporations disparues. Comment Boileau et Louis IX utilisent la régulation des métiers comme outil de contrôle social et fiscal.
Lieu|Saint-Germain-des-Prés - Abbatiale médiévale|Lire les parties romanes et gothiques subsistantes comme les vestiges d'une abbaye qui était une puissance territoriale autonome face au roi. Le bourg Saint-Germain comme enclave juridique distincte de Paris. Les traces de la destruction révolutionnaire inscrites dans la structure actuelle.
Theme|La Jacquerie de 1358 et la révolte d'Étienne Marcel|Les deux crises concomitantes qui failli renverser l'ordre féodal et royal en France. Chercher les lieux parisiens où se joue le bras de fer entre Marcel et le Dauphin. Analyser comment ces événements accélèrent la construction de la nouvelle enceinte de Charles V et reconfigurent les rapports entre la monarchie et la bourgeoisie marchande.
Lieu|Place de Grève - Actuelle Place de l'Hôtel de Ville|Le port marchand, le lieu d'embauche et le lieu d'exécution médiéval. Reconstituer la géographie sociale et économique de cette place avant l'Hôtel de Ville. Le rôle des marchands de l'eau et de la Hanse parisienne comme proto-pouvoir municipal.
