The demise of Angkor: Systemic vulnerability of urban infrastructure ...|https://pmc.ncbi.nlm.nih.gov/articles/PMC6192684/|] The historic urban collapse of Angkor is linked to infrastructural complexity and climatic variability. ## Abstract Complex infrastructural networks provide critical services to cities but can be vulnerable to external stresses,  ...    historic urban demise has not been precisely documented. We transform archeological data from the medieval Cambodian city of Angkor into a numerical model that allows us to quantify topological damage to critical urban infrastructure  ...    infrastructure occurs in response to flooding within Angkor’s urban water management system. The likelihood and extent  ...    contributed to the demise of the city. The factors behind Angkor’s demise are analogous to challenges faced by modern  ...    (**A**) Location of the medieval city of Angkor in modern Cambodia. Angkor was the primate city to a kingdom that  ...    indicated on (B) represents the watershed boundary.  Angkor foundered during the 15th century. The Cambodian Chronicles  ...    (*39*–*41*).
Hydrological History of the West Baray, Angkor, revealed through Palynological Analysis of Sediments from the West Mebon - Persée|https://www.persee.fr/doc/befeo_0336-1519_2005_num_92_1_5994|B.Ph. Groslier recast Angkor as "la cité hydraulique", recognising the important role of the network of canals, embankments and reservoirs in both the operation of the medieval Cambodian capital and its eventual demise as the seat of power. Recent mapping of the southern (Pottier, 1999) and northern (Evans, 2002) zones of Angkor has revealed, for  ...    infrastructure is, arguably, Angkor's defining characteristic. The function of the water management network, and its role in the demise and collapse of Angkor have been matters of persistent academic debate (Groslier, 1974; 1979; van Liere, 1980; Dumarçay, 1994; Bernon, 1997; Acker, 1998; Pottier, 2000a; Lustig, 2001; Fletcher et al, 2003). The history
The Dynamics of Water Management of Angkor, Cambodia, 9th to 16th Century|https://www.academia.edu/5806783/The_Dynamics_of_Water_Management_of_Angkor_Cambodia_9th_to_16th_Century|extensive hydraulic network stretching across a  ...    hydraulics and hydrological models it is possible to investigate how the hydrological network was developed, how it worked and why and when it collapsed. Understanding the water management of the Angkor area will help us to better  ...    4. The total volume of barays in Angkor is estimated between 80 million and 120 million m³.  ...    to different scales depending on the group of water users. The most dominant hydraulic features in Angkor are the huge  ...    temples, but recent research has uncovered an extensive channel network stretching across over 1000 km2. The channel  ...    management. The annual long dry season associated with the monsoon climate has challenged water management for  ...    also reshaped. Moreover, severe problems of erosion and sedimentation in human built channels evolved and impacted on  ...    resulting from climatic variability. Our model reveals unstable behavior in which extensive and cascading
Evidence for the breakdown of an Angkorian hydraulic system, and ...|https://www.sciencedirect.com/science/article/pii/S2352409X17303619|Evidence for the breakdown of an Angkorian hydraulic system, and its historical implications for understanding the  ...    Under a Creative Commonslicense open access ## Highlights * •Design of water storage deficient. * •Design possibly constrained by aesthetic requirements. * •Failure could have been avoided.  ...    This paper examines the construction and design of a 7-km long embankment, probably built for King Jayavarman IV between 928 and 941CE, as part of a new capital. We calculate that the capacities of the outlets were too small, and conclude that the embankment failed, probably within a decade of construction, so that the benefits of the reservoir  ...    But this infrastructure was not to last. Whereas the Rongea River originally ran eastwards past Point A in[Fig.  ...    much consolidation of the soil while it was placed, as we have observed for other medieval structures in Southeast  ...    moving on to the larger East Baray and then —after the capital's return from Koh
|https://hal.science/hal-02201253v1/file/lustig2018.pdf|Evidence for the breakdown of an Angkorian hydraulic system, and its historical implications for understanding the Khmer Empire Terry Lustig, Sarah Klassen, Damian Evans, Robert French, Ian Moffat To cite this version: Terry Lustig, Sarah Klassen, Damian Evans, Robert French, Ian Moffat. Evidence for the breakdown of an Angkorian hydraulic system, and its historical implications for understanding the Khmer Empire.  ...    This paper examines the construction and design of a 7-km long embankment, probably built for King Jayavarman IV between 928 and 941 CE, as part of a new capital. We calculate that the capacities of the outlets were too small, and conclude that the embankment failed, probably within a decade of construction, so that the benefits of the reservoir stored by the embankment and the access road on top of it were lessened substantially.  ...    what contributed to its sustainability and what led to its eventual decline (Evans et al., 2007; Fletcher et al.,  ...    But
Microsoft Word - Fletcher final.doc|https://journals.lib.washington.edu/index.php/BIPPA/article/download/12016/10641/0|Fletcher1, Christophe Pottier2, Damian Evans1, Matti Kummu3 1 Department of Archaeology, University of Sydney, ² EFEO Siem Reap, ³ Finnish Environmental Institute and Helsinki  ...    Email: roland.fletcher@arts.usyd.edu.au Keywords: Cambodia, Angkor, irrigation, GIS, water management  ABSTRACT The nature and even the existence of water management  at Angkor has been the subject of considerable debate since the 1970s. Recent work at Angkor by the EFEO and  the Greater Angkor Project has mapped a vast water management network extending across approximately  1000 sq km. From the new map an outline can be provide  ...    dispose of water rapidly to the lake, the Tonle Sap.  Significantly the later major channels, such as the Angkor  ...    stages, first by the EFEO and then by the joint efforts of  the Greater Angkor Project, an international collaboration  ...    Heritage Site. The mapping from ground surveys and  remote sensing has shown that the well-known group of  ...    now
An opinion on issues for future investigation of the water management of Greater Angkor|https://wires.onlinelibrary.wiley.com/doi/10.1002/wat2.1474|An opinion on issues for future investigation of the water management of Greater Angkor Roland Fletcher****, Corresponding Author Roland Fletcher * **roland.fletcher@sydney.edu.au  ...    The urban complex of Greater Angkor, the capital of the Khmer state from the 9th to the 14th–15th century CE, was a vast, convoluted settlement of rice fields, residential structures, shrines, roadways and water systems. Because the  ...    The purpose of this paper is to offer an opinion about key issues which might be pursued or assessed concerning the  ...    Angkor and the Region of Siem Reap (APSARA) Department of Monuments and Archaeology Team. (2008).The water management network of Angkor, Cambodia.*Antiquity*,82(317),658–670.  ...    * Fletcher, R.,Pottier, C., &Johnson, W.(2008).Angkor and water management: The implications of massive masonry  ...    * Sonnemann, T.(2015).Spatial configurations of water management at an early Angkorian capital –Combining G
The demise of Angkor: Systemic vulnerability of urban infrastructure ...|https://pmc.ncbi.nlm.nih.gov/articles/PMC6192684/|Zachreson] ### Cameron Zachreson 1The University of Sydney, Sydney, NSW 2006, Australia. Find articles byCameron Zachreson 1,Roland Fletcher ### Roland Fletcher 1The University of Sydney, Sydney, NSW 2006, Australia. Find articles byRoland Fletcher  ...    The historic urban collapse of Angkor is linked to infrastructural complexity and climatic variability. ## Abstract  ...    infrastructure occurs in response to flooding within Angkor’s urban water management system. The likelihood and extent  ...    Greater Angkor remain very  We conclude that Angkor’s urban infrastructure, particularly its very large and convoluted  ...    * 31.> Fletcher R., Penny D., Evans D., Pottier C., Barbetti M., Kummu M., Lustig T. Authority for the Protection and Management of Angkor and the Region of Siem Reap (APSARA) Department of Monuments and Archaeology Team, > The water management network of Angkor, Cambodia. Antiquity> 82, 658–670 (2008).  ...    * 32.> Kummu M., > Water management in Angkor:
Water and Climate - Virtual Angkor|https://www.virtualangkor.com/waterclimate|The Virtual Angkor project simulates greater Angkor at its peak around 1300 so it doesn’t show this long process of decline  ...    monsoon season and stored in barays to irrigate crops. To alleviate the droughts brought on by this change in climate, Khmer engineers undertook large-scale modifications of their existing water management system and embarked on an ambitious water diversion project. This proved, however, a costly mistake as they were eventually caught unprepared by unusually intense monsoon rains that overwhelmed the water management infrastructure and caused severe erosion and  ...    “The “hydraulic city” of Angkor, the capitol of the Khmer Empire in Cambodia, experienced decades-long drought  ...    of the cascading failure abruptly grow with the magnitude of flooding relative to normal flows in the system. Our  ...    Buckley, Brendan M., Kevin J. Anchukaitis, Daniel Penny, Roland Fletcher, Edward R. Cook, Masaki Sano, Le Canh Nam, Aroonrut Wichienkeeo, Ton That Minh
Evidence for the breakdown of an Angkorian hydraulic system, and its historical implications for understanding the Khmer Empire|https://www.sciencedirect.com/science/article/pii/S2352409X17303619|Evidence for the breakdown of an Angkorian hydraulic system, and its historical implications for understanding the  ...    Author links open overlay panelTerryLustiga1,SarahKlassenb,DamianEvansc,RobertFrenchd,IanMoffate Show more Outline  ...    Under a Creative Commonslicense open access ## Highlights * •Design of water storage deficient.  ...    * •Water storage failure may have helped shorten Koh Ker's period as Angkorian capital. ## Abstract This paper examines the construction and design of a 7-km long embankment, probably built for King Jayavarman IV between 928 and 941CE, as part of a new capital. We calculate that the capacities of the outlets were too small, and conclude that the embankment failed, probably within a decade of construction, so that the benefits of the reservoir  ...    2007],Fletcher et al., 2008,Groslier, 1979,Groslier, 2007). We suggest  ...    15. Evans et al., 2007 D. Evans, C. Pottier, R. Fletcher, S. Hensley, I. Tapley, A. Milne, M. Barbetti  ...   
